"kode","navn","verdensdel","region","tilfeller","tilfeller1000","dode","respons","areal","folketall","BNPpc","over64","urban","turisme","temperatur","immigranter","FHIFIW","kvinneligleder","eumedlem","oecdmedlem","tillitgenerelt","tillitmyndigheter","sykepenger","velferdsstatstypologi","DDD1000","DRI"
"KGZ","Kirgisistan","Asia","Sentral-Asia",11977,1.89425570949579,160,79.17,191800,6322800,1308.14016549619,4.49472797559656,36.351,423000,1.55,3.1,39,0,0,0,1.88280581693755,2.52437981180496,NA,NA,17.94,NA
"KHM","Kambodsja","Asia","Sørøst-Asia",165,0.0101539723755335,0,40.74,176520,16249798,1512.12670972847,4.56868001756576,23.388,6201000,26.8,0.5,25,0,0,0,NA,NA,NA,NA,NA,NA
"KNA","Saint Kitts og Nevis","Amerika","Latin-Amerika og Karibia",17,0.324173833450926,0,NA,260,52441,19275.2772604415,NA,30.776,125000,24.5,14.4,89,0,0,0,NA,NA,NA,NA,NA,NA
"KOR","Sør-Korea","Asia","Øst-Asia",13551,0.262582525002164,289,56.94,97489.00390625,51606633,33340.265151682,14.4185558323969,81.459,15347000,11.5,2.3,83,0,0,1,1.67068273092369,2.52289156626506,0,NA,27.68,NA
"KWT","Kuwait","Asia","Vest-Asia",56174,13.5774145145447,396,84.26,17820,4137312,33994.3819171507,2.55047238400198,100,8508000,25.35,72.1,36,0,0,0,NA,NA,NA,NA,NA,NA
"LAO","Laos","Asia","Sørøst-Asia",19,0.00269064379600558,0,43.52,230800,7061507,2542.4865281792,4.0751499644481,35.004,3770000,22.8,0.7,14,0,0,0,NA,NA,NA,NA,NA,NA
"LBN","Libanon","Asia","Vest-Asia",2451,0.357866380490369,37,74.07,10230,6848925,8024.80327081387,7.00236813439294,88.593,1964000,16.4,27.2,44,0,0,0,1.9,3.09075630252101,NA,NA,NA,NA
"LBR","Liberia","Afrika","Afrika sør for Sahara",1024,0.21249323248482,51,84.26,96320,4818977,677.322178545364,3.25343179968014,51.151,NA,25.3,1.9,60,0,0,0,NA,NA,NA,NA,NA,NA
"LBY","Libya","Afrika","Nord-Afrika",1563,0.234032240748652,42,93.52,1759540,6678567,7877.12225061884,4.39204025898401,80.102,NA,21.8,12.1,9,0,0,0,NA,NA,NA,NA,NA,NA
"LCA","Saint Lucia","Amerika","Latin-Amerika og Karibia",22,0.120952888849793,0,NA,610,181889,11357.8890096382,9.80653035642617,18.678,395000,25.5,4.6,92,0,0,0,NA,NA,NA,NA,NA,NA
"LIE","Liechtenstein","Europa","Vest-Europa",85,2.24215246636771,1,NA,160,37910,NA,NA,14.338,85300,5.65,67,90,0,0,0,NA,NA,NA,NA,NA,NA
"LKA","Sri Lanka","Asia","Sør-Asia",2665,0.122981079833872,11,76.85,62710,21670000,4080.56712469552,10.4732197537841,18.476,2334000,26.95,0.2,56,0,0,0,NA,NA,NA,NA,NA,NA
"LSO","Lesotho","Afrika","Afrika sør for Sahara",245,0.116216631596124,3,62.04,30360,2108132,1221.88376312516,4.90108749682213,28.153,1173000,11.85,0.3,63,0,0,0,NA,NA,NA,NA,NA,NA
"LTU","Litauen","Europa","Nord-Europa",1875,0.669274039341891,79,60.19,62642.001953125,2801543,19080.6173717553,19.7050331564608,67.679,2825000,6.2,4.2,91,0,1,1,NA,NA,0.894806421,NA,15.83,46
"LUX","Luxembourg","Europa","Vest-Europa",5056,8.3164733941936,111,43.52,2430,607950,116654.26106674,14.1831541841472,90.981,1018000,8.65,47.4,98,0,1,1,NA,NA,NA,NA,22.31,44
"LVA","Latvia","Europa","Nord-Europa",1178,0.611257727636425,31,62.96,62180,1927174,17805.2803143817,20.0436203206809,68.142,1946000,5.6,12.4,89,0,1,1,NA,NA,1.000600034,NA,13.3,51
"MAR","Marokko","Afrika","Nord-Afrika",16097,0.446777272328858,257,93.52,446300,36029138,3222.20063433213,7.0129048211122,62.453,12289000,17.1,0.3,37,0,0,0,NA,NA,NA,NA,NA,NA
"MCO","Monaco","Europa","Vest-Europa",109,2.81784809472106,4,NA,NA,38682,185829.017960407,NA,100,347000,13.55,68,83,0,0,0,NA,NA,NA,NA,NA,NA
"MDA","Moldova","Europa","Øst-Europa",19708,7.2829427700681,658,80.56,32890,2706049,4233.99955588135,11.4695563413512,42.629,160000,9.45,2.6,60,0,0,0,NA,NA,NA,NA,13.42,NA
"MDG","Madagaskar","Afrika","Afrika sør for Sahara",5343,0.203447000666505,39,70.37,581800,26262368,527.501326141803,2.98671712579162,37.191,291000,22.65,0.1,61,0,0,0,NA,NA,NA,NA,NA,NA
"MDV","Maldivene","Asia","Sør-Asia",2801,5.43149452390556,14,NA,300,515696,10330.615614094,3.70334460612454,39.808,1484000,27.65,13,40,0,0,0,NA,NA,NA,NA,NA,NA
"MEX","Mexico","Amerika","Latin-Amerika og Karibia",311486,2.46837352343025,36327,72.69,1943950,126190788,9673.44367360619,7.22368498087198,80.156,41313000,21,0.8,62,0,0,1,1.89671090594345,3.3202538949798,NA,NA,NA,50
"MKD","Nord-Makedonia","Europa","Sør-Europa",8328,3.99816030856119,389,NA,25220,2082958,6062.94260420864,13.6701813815648,57.963,707000,9.8,6.3,63,0,0,0,NA,NA,NA,NA,NA,NA
"MLI","Mali","Afrika","Afrika sør for Sahara",2423,0.12700699088831,121,52.78,1220190,19077690,900.110164506815,2.50722975755683,42.356,14000,28.25,2.4,41,0,0,0,NA,NA,NA,NA,NA,NA
"MLT","Malta","Europa","Sør-Europa",674,1.39075170748819,9,NA,320,484630,30133.4661748731,20.3493242997122,94.612,2599000,19.2,19.3,90,0,1,0,NA,NA,NA,NA,21.88,NA
"MMR","Myanmar/Burma","Asia","Sørøst-Asia",337,0.00627462429290616,6,80.56,653080,53708395,1418.17762347196,5.78464193257209,30.579,3551000,13.05,0.1,30,0,0,0,1.84916666666667,1.89833333333333,NA,NA,NA,NA
"MNE","Montenegro","Europa","Sør-Europa",1522,2.44605264638147,25,NA,13450,622227,8850.09273291116,14.9749366447439,66.813,2077000,NA,11.3,62,0,0,0,NA,NA,NA,NA,29.33,NA
"MNG","Mongolia","Asia","Øst-Asia",261,0.0823289828301487,0,62.96,1553560,3170208,4134.98719823511,4.08353878726245,68.445,529000,-0.7,0.7,84,0,0,0,NA,NA,NA,NA,64.41,NA
"MNP","Nord-Marianene","Oseania","Mikronesia",36,0.632889138919166,2,NA,460,56882,23258.6758552794,NA,91.618,517000,27.35,38.1,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"MOZ","Mosambik","Afrika","Afrika sør for Sahara",1268,0.0429889352312022,9,62.04,786380,29495962,498.957220208652,2.8907644574499,35.988,2743000,23.8,1.1,45,0,0,0,NA,NA,NA,NA,NA,NA
"MRT","Mauritania","Afrika","Afrika sør for Sahara",5446,1.23679433627225,149,77.78,1030700,4403319,1600.87646860561,3.14111215805009,53.672,NA,27.65,3.8,34,0,0,0,NA,NA,NA,NA,NA,NA
"MUS","Mauritius","Afrika","Afrika sør for Sahara",342,0.270290989589055,10,65.74,2030,1265303,11208.2273695738,11.4741730686522,40.793,1399000,22.4,2.3,89,0,0,0,NA,NA,NA,NA,NA,NA
"MWI","Malawi","Afrika","Afrika sør for Sahara",2497,0.137626448088456,40,57.41,94280,18143315,381.258987601084,2.64543493031032,16.937,871000,21.9,1.3,62,0,0,0,NA,NA,NA,NA,NA,NA
"MYS","Malaysia","Asia","Sørøst-Asia",8729,0.276859871763988,122,75,328550,31528585,11373.2330025676,6.67175462547886,76.036,25832000,25.4,10.7,52,0,0,0,1.80411585365854,2.51753048780488,NA,NA,NA,NA
"NAM","Namibia","Afrika","Afrika sør for Sahara",864,0.352904415593964,2,62.96,823290,2448255,5495.42883582824,3.63603168074514,50.032,NA,19.95,4.3,77,0,0,0,NA,NA,NA,NA,NA,NA
"NCL","Ny-Caledonia","Oseania","Melanesia",22,0.0774484263887911,0,NA,18280,284060,NA,9.17415792537671,70.683,120000,22.15,25.7,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"NER","Niger","Afrika","Afrika sør for Sahara",1099,0.0489686114319741,68,22.22,1266700,22442948,571.526992228733,2.59500788269853,16.425,157000,27.15,1.3,48,0,0,0,NA,NA,NA,NA,NA,NA
"NGA","Nigeria","Afrika","Afrika sør for Sahara",33616,0.171619883196782,754,80.56,910770,195874740,2032.72970882575,2.74737700532743,50.344,NA,26.8,0.6,47,0,0,0,1.87275693311582,2.69004893964111,NA,NA,NA,NA
"NIC","Nicaragua","Amerika","Latin-Amerika og Karibia",3147,0.486736319299025,99,11.11,120340,6465513,2020.54702818624,5.24749744838026,58.522,1256000,24.9,0.6,31,0,0,0,1.9575,2.93583333333333,NA,NA,NA,NA
"NLD","Nederland","Europa","Vest-Europa",51146,2.96814740154497,6135,62.96,33690,17231624,53048.0962104394,19.1961926333387,91.49,18780000,9.25,13.4,99,0,1,1,NA,NA,0.88,3,9.78,35
"NOR","Norge","Europa","Nord-Europa",8984,1.69129180506619,253,39.81,365123.0078125,5311916,81734.4655736102,17.0492221563211,82.248,5688000,1.5,16.1,100,1,0,1,NA,NA,1,3,16.97,17
"NPL","Nepal","Asia","Sør-Asia",17061,0.607415207795564,38,92.59,143350,28087871,1038.65164702443,5.72767077569198,19.74,1173000,8.1,1.7,56,0,0,0,NA,NA,NA,NA,NA,NA
"NZL","New Zealand","Oseania","Australia og New Zealand",1197,0.247262962197893,22,33.33,263310,4841000,42949.9305849512,15.6524245271741,86.538,3686000,10.55,22.3,97,1,0,1,1.39213602550478,2.46121147715197,1,NA,22.68,NA
"OMN","Oman","Asia","Vest-Asia",59568,12.3342395034831,273,83.33,309500,4829483,16414.8880173692,2.39278695625796,84.539,2301000,25.6,46,23,0,0,0,NA,NA,NA,NA,NA,NA
"PAK","Pakistan","Asia","Sør-Asia",255769,1.20523508631787,5386,82.41,770880,212215030,1482.30566684338,4.31277431133756,36.666,NA,20.2,1.5,38,0,0,0,1.76376737004632,2.2892434379825,NA,NA,NA,NA
"PAN","Panama","Amerika","Latin-Amerika og Karibia",48096,11.5148341833711,960,89.81,74340,4176873,15592.573678922,8.10473107966757,67.709,1785000,25.4,4.4,84,0,0,0,NA,NA,NA,NA,NA,NA
"PER","Peru","Amerika","Latin-Amerika og Karibia",333867,10.4368479216897,12229,89.81,1280000,31989256,6941.23584763012,8.08839279183076,77.907,4419000,19.6,2.4,72,0,0,0,1.94767441860465,3.4469476744186,NA,NA,10.26,NA
"PHL","Filippinene","Asia","Sørøst-Asia",57545,0.539558958909339,1603,77.78,298170,106651922,3252.09232412664,5.12256876829946,46.907,7168000,25.85,0.2,59,0,0,0,1.94653299916458,1.88304093567251,NA,NA,8.21,NA
"PNG","Papua Ny-Guinea","Oseania","Melanesia",11,0.00127813108419445,0,46.76,452860,8606316,2720.3852453824,3.44526925145617,13.169,140000,25.25,0.4,62,0,0,0,NA,NA,NA,NA,NA,NA
"POL","Polen","Europa","Øst-Europa",38457,1.01269922777635,1588,53.7,306190,37974750,15460.6442805468,17.5178167625452,60.058,19622000,7.85,1.7,84,0,1,1,NA,NA,0.785905132,NA,24.3,40
"PRI","Puerto Rico","Amerika","Latin-Amerika og Karibia",10123,3.17002123785838,169,86.11,8870,3193354,31621.8934700005,18.6748502103569,93.578,3068000,25.25,9.1,NA,NA,0,0,1.82411604714415,3.30915684496827,NA,NA,NA,NA
"PRT","Portugal","Europa","Sør-Europa",47051,4.57524449567486,1668,71.3,91605.595703125,10283822,23461.5718628115,21.9538575375873,65.211,16186000,15.15,8.7,96,0,1,1,NA,NA,0.69,NA,17.72,45
"PRY","Paraguay","Amerika","Latin-Amerika og Karibia",3074,0.441916133403469,25,77.78,397300,6956071,5805.67561638869,6.43021500946081,61.585,1181000,23.55,2.3,65,0,0,0,NA,NA,NA,NA,19.38,NA
"PSE","Palestina","Asia","Vest-Asia",7734,1.69267952218901,47,80.56,6020,4569087,3198.86664447405,3.13330573708009,76.164,606000,NA,5.1,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"PYF","Fransk Polynesia","Oseania","Polynesia",62,0.223279398153984,0,NA,3660,277679,NA,8.29050810468202,61.834,216300,NA,11.2,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"QAT","Qatar","Asia","Vest-Asia",104533,37.5791294244443,150,83.33,11610,2781677,68793.7844372614,1.3700703387375,99.135,1819300,27.15,78.7,25,0,0,0,NA,NA,NA,NA,NA,NA
"ROU","Romania","Europa","Øst-Europa",33585,1.72473603219302,1931,61.11,230080,19472545,12408.5964891293,18.3387013938296,53.998,11720000,NA,2.4,83,0,1,0,1.88210347752332,3.16709075487701,NA,NA,28.5,NA
"RUS","Russland","Europa","Øst-Europa",739947,5.12152519424083,11614,74.54,16376870,144477860,11370.8134559314,14.6747083203719,74.433,24551000,-5.1,8,20,0,0,0,1.75880281690141,2.48004694835681,NA,NA,14.82,NA
"RWA","Rwanda","Afrika","Afrika sør for Sahara",1416,0.11510380599351,4,56.48,24670,12301939,782.618140904879,2.9381960775388,17.211,NA,17.85,4.3,22,0,0,0,NA,NA,NA,NA,NA,NA
"SAU","Saudi-Arabia","Asia","Vest-Asia",237803,7.05647994045807,2283,75.46,2149690,33699947,23338.9634581127,3.31408802294981,83.844,15334000,24.65,38.3,7,0,0,0,NA,NA,NA,NA,NA,NA
"SDN","Sudan","Afrika","Nord-Afrika",10316,0.246785207614276,657,91.67,NA,41801533,623.867252394076,3.58116052825144,34.642,836000,26.9,2.9,12,0,0,0,NA,NA,NA,NA,35.29,NA
"SEN","Senegal","Afrika","Afrika sør for Sahara",8243,0.519920072459563,150,72.22,192530,15854360,1465.59100640191,3.08682370101833,47.192,NA,27.85,1.7,71,0,0,0,NA,NA,NA,NA,NA,NA
"SGP","Singapore","Asia","Sørøst-Asia",46629,8.26949446997841,27,77.78,709.000015258789,5638676,66188.7793961798,11.4633801933791,100,14673000,26.45,37.1,50,0,0,0,NA,NA,NA,NA,NA,NA
"SLE","Sierra Leone","Afrika","Afrika sør for Sahara",1651,0.215812649000269,64,73.15,72180,7650154,533.991184258936,2.96655621131612,42.055,57000,26.05,0.7,65,0,0,0,NA,NA,NA,NA,NA,NA
"SLV","El Salvador","Amerika","Latin-Amerika og Karibia",10303,1.60464270184265,278,100,20720,6420744,4067.65944881154,8.28709000480629,72.023,1677300,24.45,0.7,66,0,0,0,NA,NA,NA,NA,NA,NA
"SMR","San Marino","Europa","Sør-Europa",699,20.6896551724138,42,57.41,60,33785,48481.0133042107,NA,97.226,84000,11.85,16.3,95,0,0,0,NA,NA,NA,NA,NA,NA
"SOM","Somalia","Afrika","Afrika sør for Sahara",3076,0.204955252991141,93,48.15,627340,15008154,NA,2.87331094294556,44.971,NA,27.05,0.3,7,0,0,0,NA,NA,NA,NA,NA,NA
"SRB","Serbia","Europa","Sør-Europa",18983,2.7186132852443,418,43.52,87460,6982604,7246.19198607054,18.3457926916963,56.092,1711000,NA,9.4,66,0,0,0,1.84145077720207,3.0580310880829,NA,NA,31.57,55
"SSD","Sør-Sudan","Afrika","Afrika sør for Sahara",2148,0.195701134847922,41,86.57,NA,10975920,NA,3.39848287985152,19.615,NA,NA,7.8,2,0,0,0,NA,NA,NA,NA,NA,NA
"STP","Sao Tome og Principe","Afrika","Afrika sør for Sahara",732,3.46873400686165,14,NA,960,211028,2001.1369778051,2.9256781090661,72.803,33400,23.75,1,84,0,0,0,NA,NA,NA,NA,NA,NA
"SUR","Surinam","Amerika","Latin-Amerika og Karibia",801,1.39064672885514,18,77.78,156000,575991,6003.723065571,6.90636990225525,66.06,NA,25.7,7.9,75,0,0,0,NA,NA,NA,NA,NA,NA
"SVK","Slovakia","Europa","Øst-Europa",1908,0.350299287412671,28,69.44,48080,5446771,19428.1162135733,15.629246504777,53.726,2256000,6.8,3.4,88,0,1,1,NA,NA,0.836473181,NA,24.34,48
"SVN","Slovenia","Europa","Sør-Europa",1859,0.896381396541964,111,40.74,20141.9995117188,2073894,26054.5421049784,19.6068796541788,54.541,4425000,8.9,12.2,94,0,1,1,NA,NA,1,NA,13.48,40
"SWE","Sverige","Europa","Nord-Europa",76001,7.46922865700908,5545,46.3,407310,10175214,54589.0603860606,20.0955249278002,87.431,7440000,2.1,20,100,0,1,1,NA,NA,0.88,3,13.73,8
"SWZ","Swaziland","Afrika","Afrika sør for Sahara",1434,1.26211174001554,20,84.26,17200,1136191,4145.97411002514,4.01458794083506,23.799,782000,21.4,2.8,19,0,0,0,NA,NA,NA,NA,NA,NA
"SXM","Sint Marteen, NL","Amerika","Latin-Amerika og Karibia",78,1.91863039307325,15,NA,NA,40654,NA,NA,100,178000,NA,66.7,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"SYC","Seychellene","Afrika","Afrika sør for Sahara",100,1.0334635497406,0,19.44,460,96762,16390.824875738,7.59454560435034,56.691,362000,27.15,13.2,72,0,0,0,NA,NA,NA,NA,NA,NA
